Composer,Mass,Movement,Source,Sibelius file,xml file,pdf file,midi file,Corrected .sib file (if needed),Corrected .xml (if needed),Notes
Josquin Des Pres (not secure),Missa L'homme arme quarti toni,Domine deus,JRP,https://drive.google.com/open?id=1S2rkkaEUP70GHYRrlPFm-CnOVF0h7Hx_,https://drive.google.com/open?id=1UXuqCpQNoZ6Z0KvKgxYewviH-SJ47Xic,https://drive.google.com/open?id=0B0QZHrd7oj6nVUVUZnlFamxleVk,https://drive.google.com/open?id=1wBUZPrDEP8a0uqTDCR1rMiLwojPI5-9F,,,
Josquin Des Pres (not secure),Missa Mater patris,Pleni,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Mater patris,Benedictus,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Mater patris,Agnus II,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Mi mi,Benedictus,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Mi mi,Qui venit,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Mi mi,In nomine,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Missus est Gabriel angelus,Pleni,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Missus est Gabriel angelus,Agnus II,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Quem dicunt homines,Agnus II,JRP,,,,,,,
Josquin Des Pres (not secure),Sanctus De passione,Pleni,JRP,,,,,,,
Josquin Des Pres (not secure),Sanctus De passione,Benedictus,JRP,,,,,,,
Josquin Des Pres (not secure),Missa Sub tuum presidium,Benedictus,JRP,,,,,,,Same as La Rue; eliminate
