4 Voice Motets (1450-1600),Iste sanctus pro lage,1585-01-01,1585-01-01,Iste sanctus pro lage,1585-01-01,1585-01-01,Victoria,Tomás Luis de,Motet,True,Contratenor,Superius,Tenor,,,,,,,,,,
4 Voice Motets (1450-1600),Jubilate Deo omnis terra,1450-01-01,1521-01-01,Jubilate Deo omnis terra,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),"Judica me, Deus",1500-01-01,1550-01-01,"Judica me, Deus",1500-01-01,1550-01-01,Caen,Arnold,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Laetare nova Syon ,1475-01-01,1530-01-01,Laetare nova Syon ,1475-01-01,1530-01-01,De Silva,Andreas,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Laudate pueri Dominum,1450-01-01,1521-01-01,Laudate pueri Dominum,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Levavi oculos meos,1450-01-01,1521-01-01,Levavi oculos meos,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Liber generationis,1450-01-01,1521-01-01,Liber generationis,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Alto,Bass,Discantus,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),Magi viderunt stellam,1572-01-01,1572-01-01,Magi viderunt stellam,1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Magnificat quarti toni,1450-01-01,1521-01-01,Magnificat quarti toni,1450-01-01,1521-01-01,,Josquin Des Prez,Magnificat,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Magnificat tertii toni; Et exsultavit spiritus meus,1450-01-01,1521-01-01,Magnificat tertii toni; Et exsultavit spiritus meus,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Magnificat tertii toni; Quia fecit; Fecit potentiam; Esurientes,1450-01-01,1521-01-01,Magnificat tertii toni; Quia fecit; Fecit potentiam; Esurientes,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Contratenor,Superius,Tenor,,,,,,,,,,
4 Voice Motets (1450-1600),Memor esto verbi tui,1450-01-01,1521-01-01,Memor esto verbi tui,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Mirabilia testimonia tua Domine,1450-01-01,1521-01-01,Mirabilia testimonia tua Domine,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Missus est Gabriel angelus,1450-01-01,1521-01-01,Missus est Gabriel angelus,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Mittit ad virginem,1450-01-01,1521-01-01,Mittit ad virginem,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Monstra te esse matrem,1450-01-01,1521-01-01,Monstra te esse matrem,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Mort tu as navre,1410-01-01,1497-01-01,Mort tu as navre,1410-01-01,1497-01-01,Ockeghem,Jean de,Chanson,True,Contratenor,Contratenor Bassus,Discant,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),"Mort, tu as navré",1460-01-01,1497-01-01,"Mort, tu as navré",1460-01-01,1497-01-01,Ockeghem,Jean de,Chanson,True,Contratenor,Contratenor Bassus,Superius,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),"Ne timeas, Maria",1572-01-01,1572-01-01,"Ne timeas, Maria",1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Nunc dimittis,1450-01-01,1521-01-01,Nunc dimittis,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O admirabile commercium,1450-01-01,1521-01-01,O admirabile commercium,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Contratenor,Soprano,Tenor,,,,,,,,,,
4 Voice Motets (1450-1600),O beate Sebastiane,1480-01-01,1500-01-01,O beate Sebastiane,1480-01-01,1500-01-01,Martini,Johannes,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O beate Sebastiane,1480-01-01,1500-01-01,O beate Sebastiane,1480-01-01,1500-01-01,Weerbeke,Gaspar van,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O bone et dulcissime Jesu,1450-01-01,1521-01-01,O bone et dulcissime Jesu,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O decus apostolicum,1572-01-01,1572-01-01,O decus apostolicum,1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O doctor optime,1548-01-01,1611-01-01,O doctor optime,1548-01-01,1611-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O Domine Jesu Christe,1450-01-01,1521-01-01,O Domine Jesu Christe,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O magnum mysterium,1572-01-01,1572-01-01,O magnum mysterium,1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O pater eterne,1440-01-01,1460-01-01,O pater eterne,1440-01-01,1460-01-01,,Anonymous,,True,Unknown,,,,,,,,,,,,
4 Voice Motets (1450-1600),O quam gloriosum est regnum,1572-01-01,1572-01-01,O quam gloriosum est regnum,1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O quam metuendus est ,1585-01-01,1585-01-01,O quam metuendus est ,1585-01-01,1585-01-01,Victoria,Tomás Luis de,Motet,True,Bass,Soprano,,,,,,,,,,,
4 Voice Motets (1450-1600),O regem coeli,1572-01-01,1572-01-01,O regem coeli,1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),O sacrum convivium,1572-01-01,1572-01-01,O sacrum convivium,1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Bassus,Contratenor,Superius,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),"O vos omnes, qui transitis per viam",1572-01-01,1572-01-01,"O vos omnes, qui transitis per viam",1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Alto,Bassus,Discantus,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),Pange lingua gloriosi,1450-01-01,1521-01-01,Pange lingua gloriosi,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Altus,Bassus,Discant,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),Pater peccavi,1530-01-01,1546-01-01,Pater peccavi,1530-01-01,1546-01-01,Manchicourt,Pierre de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Planxit autem David,1450-01-01,1521-01-01,Planxit autem David,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Puer natus est nobis Ö Haec dies,1480-01-01,1541-01-01,Puer natus est nobis Ö Haec dies,1480-01-01,1541-01-01,Mahu,Stephan,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Pueri Hebraeorum,1548-01-01,1611-01-01,Pueri Hebraeorum,1548-01-01,1611-01-01,Victoria,Tomás Luis de,Motet,True,Alto,Bassus,Discantus,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),Quaeramus cum pastoribus,1459-01-01,1522-01-01,Quaeramus cum pastoribus,1459-01-01,1522-01-01,Mouton,Jean,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Quam pulchri sunt gressus tui,1572-01-01,1572-01-01,Quam pulchri sunt gressus tui,1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Quem dicunt homines,1480-01-01,1515-01-01,Quem dicunt homines,1480-01-01,1515-01-01,Richafort,Jean,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Qui habitat in adiutorio Altissimi,1450-01-01,1521-01-01,Qui habitat in adiutorio Altissimi,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Qui velatus,1450-01-01,1521-01-01,Qui velatus,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Recordare virgo mater,1450-01-01,1521-01-01,Recordare virgo mater,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Alto,Soprano,,,,,,,,,,,
4 Voice Motets (1450-1600),Regina caeli letare,1450-01-01,1521-01-01,Regina caeli letare,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Regina caeli letare; Resurrexit sicut dixit,1450-01-01,1521-01-01,Regina caeli letare; Resurrexit sicut dixit,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Responde mihi,1450-01-01,1521-01-01,Responde mihi,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Salve regina,1410-01-01,1497-01-01,Salve regina,1410-01-01,1497-01-01,Ockeghem,Jean de,Motet,True,Alto,Bassus,Discantus,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),Salve regina,1450-01-01,1521-01-01,Salve regina,1450-01-01,1521-01-01,,Josquin Des Prez,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),"Sancta Maria, succurre miseris",1572-01-01,1572-01-01,"Sancta Maria, succurre miseris",1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Bassus,Contratenor,Superius,Tenor,,,,,,,,,
4 Voice Motets (1450-1600),"Sancta mater, istud agas",1470-01-01,1528-01-01,"Sancta mater, istud agas",1470-01-01,1528-01-01,Peñalosa,Francisco,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Sancte Sebastiane,1521-01-01,1521-01-01,Sancte Sebastiane,1521-01-01,1521-01-01,Mouton,Jean,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Sancti Dei omnes,1459-01-01,1522-01-01,Sancti Dei omnes,1459-01-01,1522-01-01,Mouton,Jean,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Sebastiane decus perene celi,1527-01-01,1534-01-01,Sebastiane decus perene celi,1527-01-01,1534-01-01,,Maistre Jhan,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Sebastianus vir christianissimus,1568-01-01,1568-01-01,Sebastianus vir christianissimus,1568-01-01,1568-01-01,Deiss,Michael,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Senex puerum portabat,1572-01-01,1572-01-01,Senex puerum portabat,1572-01-01,1572-01-01,Victoria,Tomás Luis de,Motet,True,Soprano,Alto,Tenor,Bass,,,,,,,,,
4 Voice Motets (1450-1600),Stella celi extirpavit,1502-01-01,1502-01-01,Stella celi extirpavit,1502-01-01,1502-01-01,,Anonymous,Motet,False,Soprano,Alto,Tenor,Bass,,,,,,,,,
