RenComp7_metadata,,,,,,,
File Name,Composer Given Name,Composer Surname,Musical Work Name,Section Name,Genre,Sacred/Secular,Collection Name
Giovanni_Pierluigi_da_Palestrina/Aeterna_Christi_munera_Benedictus_4.mid,Giovanni Pierluigi da,Palestrina,Missa Aeterna Christi munera,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aeterna_Christi_munera_Credo_4.mid,Giovanni Pierluigi da,Palestrina,Missa Aeterna Christi munera,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aeterna_Christi_munera_Gloria_4.mid,Giovanni Pierluigi da,Palestrina,Missa Aeterna Christi munera,Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aeterna_Christi_munera_Kyrie_4.mid,Giovanni Pierluigi da,Palestrina,Missa Aeterna Christi munera,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Alma_Redemptoris_mater_Agnus_I_6.mid,Giovanni Pierluigi da,Palestrina,Missa Alma Redemptoris mater,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Alma_Redemptoris_mater_Agnus_II_6.mid,Giovanni Pierluigi da,Palestrina,Missa Alma Redemptoris mater,Agnus II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Alma_Redemptoris_mater_Benedictus_4.mid,Giovanni Pierluigi da,Palestrina,Missa Alma Redemptoris mater,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Alma_Redemptoris_mater_Credo_6.mid,Giovanni Pierluigi da,Palestrina,Missa Alma Redemptoris mater,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Alma_Redemptoris_mater_Gloria_6.mid,Giovanni Pierluigi da,Palestrina,Missa Alma Redemptoris mater,Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Alma_Redemptoris_mater_Kyrie_6.mid,Giovanni Pierluigi da,Palestrina,Missa Alma Redemptoris mater,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Alma_Redemptoris_mater_Kyrie_II_6.mid,Giovanni Pierluigi da,Palestrina,Missa Alma Redemptoris mater,Kyrie II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Alma_Redemptoris_mater_Sanctus_6.mid,Giovanni Pierluigi da,Palestrina,Missa Alma Redemptoris mater,Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ascendo_ad_Patrem_Agnus_I_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ascendo ad Patrem,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ascendo_ad_Patrem_Agnus_II_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ascendo ad Patrem,Agnus II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ascendo_ad_Patrem_Benedictus_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ascendo ad Patrem,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ascendo_ad_Patrem_Credo_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ascendo ad Patrem,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ascendo_ad_Patrem_Kyrie_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ascendo ad Patrem,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ascendo_ad_Patrem_Sanctus_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ascendo ad Patrem,Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aspice_Domine_Agnus_I_5.mid,Giovanni Pierluigi da,Palestrina,Missa Aspice Domine,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aspice_Domine_Agnus_II_6.mid,Giovanni Pierluigi da,Palestrina,Missa Aspice Domine,Agnus II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aspice_Domine_Benedictus_4.mid,Giovanni Pierluigi da,Palestrina,Missa Aspice Domine,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aspice_Domine_Credo_5.mid,Giovanni Pierluigi da,Palestrina,Missa Aspice Domine,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aspice_Domine_Gloria_5.mid,Giovanni Pierluigi da,Palestrina,Missa Aspice Domine,Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aspice_Domine_Kyrie_5.mid,Giovanni Pierluigi da,Palestrina,Missa Aspice Domine,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aspice_Domine_Kyrie_II_5.mid,Giovanni Pierluigi da,Palestrina,Missa Aspice Domine,Kyrie II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Aspice_Domine_Sanctus_5.mid,Giovanni Pierluigi da,Palestrina,Missa Aspice Domine,Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Assumpta_est_Maria_Agnus_I_6.mid,Giovanni Pierluigi da,Palestrina,Missa Assumpta est Maria,Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Assumpta_est_Maria_Agnus_II_6.mid,Giovanni Pierluigi da,Palestrina,Missa Assumpta est Maria,Agnus II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Assumpta_est_Maria_Benedictus_6.mid,Giovanni Pierluigi da,Palestrina,Missa Assumpta est Maria,Benedictus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Assumpta_est_Maria_Credo_6.mid,Giovanni Pierluigi da,Palestrina,Missa Assumpta est Maria,Credo ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Assumpta_est_Maria_Gloria_6.mid,Giovanni Pierluigi da,Palestrina,Missa Assumpta est Maria,Gloria ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Assumpta_est_Maria_Kyrie_6.mid,Giovanni Pierluigi da,Palestrina,Missa Assumpta est Maria,Kyrie ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Assumpta_est_Maria_Kyrie_II_6.mid,Giovanni Pierluigi da,Palestrina,Missa Assumpta est Maria,Kyrie II ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Assumpta_est_Maria_Sanctus_6.mid,Giovanni Pierluigi da,Palestrina,Missa Assumpta est Maria,Sanctus ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1594)_Agnus_I_4.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1594),Agnus I ,Mass,Sacred,RenComp7
Giovanni_Pierluigi_da_Palestrina/Ave_Maria_(1594)_Agnus_II_5.mid,Giovanni Pierluigi da,Palestrina,Missa Ave Maria (1594),Agnus II ,Mass,Sacred,RenComp7
